lncRNAs	SRR5816403	SRR5816404	SRR5816405	SRR5816406	SRR5816407	SRR5816409	SRR5816412	SRR5816413	SRR5816414	SRR5816415	SRR5816416	SRR5816417	SRR5816422	SRR5816423	SRR5816424	SRR5816425	SRR5816426	SRR5816427	SRR5816431	SRR5816432	SRR5816433	SRR5816434	SRR5816435	SRR5816436	SRR5816399	SRR5816401	SRR5816402	SRR5816408	SRR5816410	SRR5816411	SRR5816419	SRR5816420	SRR5816421	SRR5816428	SRR5816429	SRR5816430	SRR6002855	SRR6002856	SRR6002857	SRR6002858	SRR6002859	SRR6002860	SRR6002861	SRR6002862	SRR6204755	SRR6204756	SRR7550104	SRR7550105	SRR7550106	SRR7550107	SRR7550108	SRR7550109	SRR7550110	SRR7550111	SRR7550112	SRR7550113	SRR7550114	SRR7550115	SRR7550116	SRR7550117	SRR7550118	SRR7550119	SRR7550120	SRR7550121	SRR7550122	SRR7550123	SRR7550124	SRR7550125	SRR7550126	SRR7550127	SRR8245084	SRR8245085	SRR8245086	SRR8245087	SRR8245088	SRR8245089	SRR8245090	SRR8245091	SRR8245092	SRR8245093	SRR8245094	SRR8245095	SRR8518510	SRR8518511	SRR8518512	SRR8518513	SRR8518514	SRR8518515	SRR10015151	SRR10015152	SRR10015153	SRR10015154	SRR10015155	SRR10015156	SRR10015157	SRR10015158	SRR10015159	SRR10015160	SRR10015161	SRR10015162	SRR10015163	SRR10015164	SRR10015165	SRR10015166	SRR10015167	SRR10015168	ERR5730247	ERR5730248	ERR5730250	ERR5730252	ERR5730254	ERR5730256	ERR5730259	ERR5730261	ERR5730263	ERR5730268	ERR5730270	ERR5730273	ERR5730275	ERR5730277	ERR5730279	ERR5730280	ERR5730282	ERR5730285	ERR5730287	ERR5730208	ERR5730209	ERR5730210	ERR5730211	ERR5730212	ERR5730213	ERR5730214	ERR5730215	ERR5730216	ERR5730217	ERR5730218	ERR5730219	ERR5730220	ERR5730221	ERR5730222	ERR5730223	ERR5730224	ERR5730225	ERR5730226	ERR5730227	ERR5730228	ERR5730229	ERR5730230	ERR5730231	ERR5730232	ERR5730235	ERR5730236	ERR5730237	ERR5730238	ERR5730239	ERR5730240	ERR5730243	ERR5730246	ERR5730233	ERR5730234	ERR5730241	ERR5730242	ERR5730244	ERR5730245	ERR5730249	ERR5730251	ERR5730253	ERR5730255	ERR5730257	ERR5730258	ERR5730260	ERR5730262	ERR5730264	ERR5730265	ERR5730266	ERR5730267	ERR5730269	ERR5730271	ERR5730272	ERR5730274	ERR5730276	ERR5730278	ERR5730281	ERR5730283	ERR5730284	ERR5730286	SRR14120319	SRR14120318	SRR14120317	SRR14120316	SRR13167947	SRR13167945	SRR13167943	SRR13167941	SRR13167939	SRR13167937	SRR13167946	SRR13167944	SRR13167942	SRR13167940	SRR13167938	SRR13167936
BnaCnnLNG0001200.1	0.007603	0.180627	0.010009	0.020932	0.256290	0.183002	0.093232	0.616749	0.108894	0.065630	0.007237	0.145845	0.331093	0.062051	0.268315	0.119142	0.126673	0.107497	0.012806	0.039980	0.308786	0.048179	0.133833	0.163783	0.067847	0.238109	0.105644	0.038919	0.191295	0.193380	0.105077	0.293952	0.026379	0.122204	0.118176	0.246495	0.639819	0.085376	0.645581	0.015898	0.023481	0.004145	0.231802	0.000000	0.254617	0.089021	0.069856	0.063600	0.271118	0.106184	0.088790	0.474759	0.746783	0.776431	0.339205	0.420373	0.479461	0.519841	1.117529	0.658389	0.243131	0.455612	1.528814	1.640706	1.256497	0.339908	0.362765	0.408357	0.132508	0.203305	0.952149	0.266204	0.339563	0.416542	0.835578	0.503882	0.540620	0.121038	0.235249	0.236261	0.219077	0.404231	0.303053	0.036518	0.213222	0.098892	0.168289	0.504698	0.346262	0.786893	1.085882	1.100220	1.413646	0.704995	0.202181	0.081721	0.774357	1.374364	1.835889	0.625274	0.202031	1.045900	0.577115	0.675880	0.483062	0.824746	0.297202	0.084481	0.028238	0.030914	0.374431	0.269766	0.245056	0.531243	0.247689	0.231297	0.334399	0.306852	0.006146	0.279075	0.011644	0.492463	0.119568	0.092416	0.396804	0.062487	0.026310	0.057598	0.308134	0.073087	0.427322	0.133102	0.163831	0.004906	0.059221	0.050941	0.055774	0.007721	0.093103	0.137953	0.424173	0.058009	0.087187	0.027087	0.405400	0.537740	0.585202	0.246828	0.286943	0.113154	0.037337	0.190714	0.173294	0.103536	0.592719	0.205007	0.030762	0.090692	0.035174	0.506373	0.190167	0.030108	0.088518	0.152182	0.080281	0.208854	0.254696	0.029966	0.274610	0.290193	0.455088	0.410899	0.320215	0.015229	0.329652	0.145131	0.112190	0.153593	0.068191	0.005318	0.024464	0.049873	0.356721	0.085271	0.111296	0.316168	0.516558	0.081911	0.087711	0.171455	0.213142	0.364178	0.315036	0.002565	0.285342	0.023064	0.408144	0.057428	0.000000	0.084074	0.312206	0.437735
BnaCnnLNG0001300.1	0.024279	0.908667	0.774505	0.024294	0.000000	0.000000	0.483189	0.000000	1.752220	0.421009	0.000000	0.316012	0.000000	0.000000	0.946270	0.741138	0.466972	0.168112	0.489585	0.302800	0.033561	0.288147	0.235628	0.000000	5.524879	1.059062	0.804996	0.075598	0.922238	0.367114	0.000000	0.442893	0.853033	0.000000	0.538832	0.415804	0.190686	0.017080	0.506846	0.231975	0.581528	0.000000	0.000000	0.000000	0.347478	0.299350	6.681913	2.156977	1.511090	0.195993	0.398967	1.035869	0.226755	1.148715	1.307384	0.507985	3.179353	0.215522	0.000000	0.448175	0.848599	0.703339	1.389111	0.946010	1.590003	0.189415	0.206590	0.609360	0.627208	0.139323	0.739737	0.000000	0.055654	0.000000	0.000000	0.000000	1.026525	3.043803	0.000000	2.198825	2.653048	1.236079	0.476121	0.308741	0.484684	0.356206	1.849648	0.330090	2.232820	6.531042	7.528738	0.000000	2.680123	1.462529	2.809366	0.000000	1.791989	3.986487	3.134239	5.477422	6.061339	8.751734	3.399676	3.748061	7.067176	7.330856	0.822413	0.415510	0.299376	0.204494	0.904887	0.823355	0.420609	0.556502	0.497742	0.087333	0.748502	0.165360	0.321162	0.000000	1.056762	0.967016	0.297978	0.000000	0.457960	0.524175	0.124152	0.470474	1.787516	0.354553	0.599518	0.168541	0.630494	0.773041	6.333968	0.161662	0.196400	2.564364	0.136009	0.198305	0.565354	4.472477	0.649732	0.831632	0.000000	0.857123	0.483113	2.062287	0.801652	0.594295	0.000000	0.157698	0.399380	0.652166	0.000000	0.364243	0.135341	0.335158	0.260375	0.030278	0.165348	2.069270	0.277986	0.953066	0.142076	0.955973	0.077114	0.838521	0.531849	0.220937	1.036952	0.739084	0.666379	0.434488	0.238417	0.599415	0.874663	0.462931	1.289100	0.860395	0.817827	1.273331	0.000000	1.220958	0.334095	0.149921	0.347087	1.452127	1.317408	0.000000	1.110082	0.000000	0.000000	0.000000	0.000000	0.000000	1.049874	1.847658	0.000000	2.020106	0.000000	0.000000
BnaCnnLNG0001400.1	0.640790	0.076277	0.000000	0.000000	0.000000	0.000000	0.090383	0.000000	0.026108	0.000000	0.000000	0.000000	0.324633	0.265879	0.000000	0.000000	0.000000	0.010659	0.062888	0.000000	0.000000	0.000000	0.000000	0.000000	1.011219	1.586407	0.930633	0.119455	0.133924	0.051997	0.359515	0.772008	0.882912	0.121550	0.161888	0.107649	0.243670	0.975373	0.057887	0.131106	0.412325	0.876700	0.472818	0.591317	0.187556	0.545808	0.193467	0.173056	0.344250	0.142187	0.198465	0.441727	0.212595	0.233977	0.455270	0.439592	0.477843	0.425414	0.150873	0.373798	0.588845	0.746037	0.234726	0.111745	0.192937	0.516205	0.358498	0.356326	0.257547	0.091911	0.840978	0.826078	0.626471	0.354000	0.711835	0.535268	1.377595	2.009045	2.117395	1.727211	1.446361	1.266019	0.078365	0.610348	0.000000	0.013818	0.820085	0.078976	1.120421	1.755044	3.834623	1.981023	0.950727	1.453410	1.090860	0.848310	0.0	0.150377	2.537295	2.719183	1.662762	1.450810	1.233142	0.610270	1.737849	2.520959	1.359516	0.504773	0.479614	1.215912	1.121771	0.298961	0.724656	1.497052	1.670245	1.147839	1.569209	0.234875	0.250531	0.364954	0.210517	0.424435	0.535664	0.462706	0.643012	0.559029	0.477130	0.676541	0.508795	1.057024	1.103024	1.498405	1.351050	0.920407	0.885379	0.502018	0.694066	1.231678	1.480723	0.872578	1.317784	0.894421	0.870844	1.365526	1.111194	0.864433	1.978041	1.527774	1.813864	1.173204	1.043525	1.557595	1.408133	0.936001	0.865368	0.319551	0.247297	1.154812	1.182266	0.642833	0.150404	0.437758	1.296577	1.191273	0.221880	0.295204	1.181070	1.026985	0.457436	0.329527	1.348662	1.688903	0.695220	0.552990	0.412698	0.414757	1.139038	1.762338	0.352169	0.439532	0.331800	0.301397	0.567381	0.344547	0.281243	0.182130	0.584801	0.824327	0.260774	0.574350	0.232004	0.249305	0.072889	0.000000	0.327804	0.211458	0.654874	0.451910	0.133128	0.101189	0.133582	0.692416
BnaCnnLNG0001500.1	0.000000	0.087598	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068069	0.000000	0.019051	0.000000	0.119029	0.172757	0.000000	0.000000	0.000000	0.000000	0.035098	0.136223	0.000000	0.000000	0.000000	0.000000	1.125459	0.985310	1.269002	0.000000	0.196482	0.000000	0.604722	0.377561	0.504023	0.252498	0.254117	0.064497	0.000000	0.160002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.036801	1.456213	0.234079	0.590305	0.518398	0.458775	0.791878	1.004719	0.247423	0.100985	0.888449	0.981536	0.097444	0.253067	0.201513	0.232477	0.521769	0.696849	0.277068	0.403205	0.366477	0.096905	0.052035	0.000000	1.052410	0.664511	0.251183	0.000000	0.222975	0.000000	0.398422	0.189472	1.754979	1.731369	1.513082	1.756856	0.891815	1.175987	0.000000	0.435801	0.000000	0.000000	0.156980	0.105043	0.333751	0.099116	1.952783	2.451849	0.000000	0.000000	0.535614	1.648231	0.000000	0.000000	0.000000	1.445885	0.000000	2.035552	0.837107	0.000000	2.300339	2.930305	1.017865	1.098472	0.742334	1.340639	0.404836	0.631829	0.773035	2.109438	1.476270	0.964928	1.706412	0.000000	0.337726	0.341079	0.000000	0.348036	0.460728	0.193372	0.568081	1.791426	1.577777	1.891275	1.422105	3.605484	1.642134	2.197789	1.906372	1.766901	1.613099	0.883686	1.466085	3.537785	2.315986	0.537629	1.309188	2.550219	1.590379	2.322445	2.557664	4.165825	1.203037	3.349478	2.396312	2.429706	2.277398	3.185762	2.724676	2.337942	1.537823	0.748398	0.547153	0.470654	1.876314	2.061228	0.931432	0.120447	0.701722	1.869134	1.119497	0.718366	1.264995	0.771052	0.756148	0.206662	0.739013	1.318933	1.144919	1.421166	0.479261	1.060294	1.317214	1.602248	0.180383	1.199884	0.877849	0.164075	0.000000	0.228935	0.595893	0.579123	1.020215	1.551027	1.391305	1.437527	0.000000	0.000000	0.000000	0.000000	0.312237	0.000000	0.615273	0.992435	0.000000	0.000000	0.044710	0.698457
BnaCnnLNG0001600.1	2.383623	3.777217	5.712809	14.021157	15.578160	12.807884	12.927352	14.770061	14.665905	11.725134	12.026355	11.449243	1.476601	2.902274	7.169867	15.125941	15.804145	15.983109	12.818705	12.220270	11.398568	7.730849	8.080163	9.198060	10.829241	10.351381	10.080651	7.458583	10.474124	11.675229	5.866075	3.647658	3.902408	9.399652	8.677019	9.324471	5.555955	3.679998	2.365843	0.950090	3.612106	3.153012	4.322878	0.615157	15.155410	12.631116	22.415575	21.902647	4.142325	22.339407	29.382189	2.162526	1.860184	1.754424	2.107465	2.268803	1.816217	1.357174	2.085578	1.723523	4.273183	3.621999	2.092775	1.771696	1.933783	1.454361	1.402199	1.527907	30.544174	30.600668	4.437301	6.608037	5.229702	7.085859	5.116903	6.993214	6.816877	5.179075	5.932128	5.337553	5.448918	5.646435	20.866566	5.285285	24.120371	22.117922	6.712868	22.974453	2.476258	4.151358	4.229032	5.804412	1.361908	0.893676	1.840876	3.947462	0.000000	0.958156	1.905889	3.827434	5.570785	6.462802	1.619568	0.654126	4.107276	4.029036	3.958504	3.768965	3.862062	2.686550	5.279735	3.903739	4.399306	3.673977	4.242353	3.856576	4.059485	5.347040	5.929811	5.638569	5.197381	5.500077	5.647960	6.159524	5.061082	4.145432	4.055818	2.463291	2.818989	2.723295	2.865757	3.154063	3.091983	3.992350	4.697704	2.691277	2.733971	2.759831	3.138703	2.304868	2.944996	3.969889	4.090645	3.579155	3.443724	2.634792	4.003661	2.700312	3.087647	4.114502	3.710505	2.703377	2.859604	2.323309	1.879613	3.221591	4.889624	4.848855	4.152124	2.458409	2.945812	7.014567	3.712518	3.373692	4.179069	3.652782	3.780507	4.483194	2.875103	5.748335	3.455930	5.454497	3.922394	3.654594	3.703535	2.743977	3.780333	3.605705	4.482854	4.330899	3.566985	5.483293	6.555670	6.259610	4.022905	3.388658	14.066133	17.836994	16.244503	13.346067	2.530968	8.022719	3.747249	8.452013	2.971555	3.450465	1.027374	6.039155	6.611248	7.812621	5.113946	3.376241
BnaCnnLNG0001700.1	5.779980	17.300844	14.825545	20.536287	17.638279	20.823406	6.122783	6.481591	6.694534	1.543824	14.691999	17.450451	1.388984	3.535847	0.008076	0.003170	1.866606	6.590958	0.233300	6.849628	6.061615	0.013827	11.694324	10.405736	2.720607	2.655204	2.559598	0.077568	2.798905	1.414935	1.255541	1.089471	1.145888	0.005322	0.018468	2.163093	6.039350	4.161071	4.987524	0.000000	4.494715	4.405558	7.527775	1.379259	3.965267	3.994881	4.210748	0.000000	3.757277	3.941763	2.285492	5.429740	6.015632	6.181336	5.821007	5.890673	0.000000	4.076831	5.531127	3.266004	3.798457	5.832842	8.391747	7.849903	8.012260	3.174781	0.000000	3.532648	2.195188	2.289265	28.054688	32.416767	29.491831	30.938494	29.967121	34.397312	3.269487	3.637029	3.768679	3.377448	2.552475	3.703825	2.059473	2.362298	1.217887	2.072974	1.807889	1.711300	7.846952	2.266728	3.246834	0.802611	6.517191	6.688844	6.977490	2.004200	6.457131	7.559266	9.854631	0.628304	0.906542	1.905414	6.996992	8.686499	2.418578	1.521765	4.280331	3.320996	3.684656	3.484357	4.929398	2.621277	3.167517	4.268397	4.369988	3.633290	0.947035	5.330388	4.248624	3.660520	3.622504	4.175995	4.440575	3.887465	3.267960	3.454361	2.981395	2.891487	2.625676	3.411294	3.198017	1.116686	4.291607	3.150141	1.034104	2.389697	3.061185	2.812041	3.417916	3.003619	3.277437	3.490360	3.561110	4.180578	2.891813	2.715528	4.198180	3.473692	3.324627	2.658986	2.640847	3.036377	1.090446	2.377740	3.251693	3.385053	4.110887	5.131241	3.191077	1.961610	3.132361	0.963876	4.273633	4.058414	2.518863	3.061894	1.045072	4.286068	3.189817	3.336013	4.474751	5.286005	3.388031	2.927891	2.805051	2.835668	2.962552	2.522414	0.000000	3.765202	3.710317	3.998940	5.425757	4.892556	3.796900	4.327463	0.513637	0.434366	1.475510	1.129612	0.311454	9.855462	9.859394	26.141855	9.620405	6.530034	3.185369	6.845419	23.247530	22.248486	20.379131	5.422585
BnaCnnLNG0001800.1	0.000000	0.000000	1.322657	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.858607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.165843	0.000000	0.000000	0.000000	0.000000	0.000000	1.119401	0.000000	0.000000	0.000000	0.000000	0.000000	7.868361	5.705972	3.672327	0.000000	3.263595	0.000000	0.000000	0.000000	6.597836	7.304997	3.632493	0.000000	0.000000	0.000000	1.996564	0.000000	2.656115	0.000000	0.000000	3.576837	3.150091	0.000000	3.748824	3.599582	0.000000	3.328734	0.000000	3.255396	2.675081	0.000000	2.566317	0.000000	2.752731	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.773360	0.620475	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.456458	1.175710	1.600504	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.016547	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.983138	0.000000	0.000000	1.374248	1.672408	3.882198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.406501	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.410292	0.000000	0.000000	1.676538	0.000000	0.000000	1.466119	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.894885	0.000000	1.228153	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.922966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.722840	0.000000	0.000000	0.000000	0.000000	0.000000
BnaCnnLNG0001900.1	0.107599	0.268801	0.421850	1.307314	3.907215	1.908900	1.181004	1.754771	2.570238	2.454146	1.699789	3.274695	0.150396	0.662354	2.257075	2.611299	4.117911	2.924024	3.761882	2.014627	1.382027	1.217139	1.156938	1.869869	1.125254	1.077115	1.152429	0.540623	1.431644	2.641892	0.752613	1.719681	1.751440	1.278247	2.013827	0.937016	2.476434	0.853694	0.708690	1.268109	0.984843	0.734537	0.864579	0.568836	0.387814	0.186690	5.094836	5.192291	0.125718	4.439839	2.259425	0.077721	0.973688	0.722025	0.160384	0.127151	0.909520	0.805566	0.764395	0.875334	0.114069	0.276907	1.114317	1.602423	1.283609	1.362252	1.358668	1.101632	2.807379	2.960736	0.128690	0.228667	0.322196	0.062279	0.217257	0.270374	1.073058	1.691004	2.958138	2.064708	2.020798	3.041541	0.340581	1.523674	0.611135	0.384750	0.900515	0.667470	0.0	0.036395	0.459405	0.193021	0.0	0.267662	0.000000	0.296810	0.000000	0.000000	0.0	0.0	0.000000	0.0	0.0	0.0	0.619964	0.000000	1.102524	0.347544	0.339871	0.448969	0.351324	0.643493	0.789062	1.896576	1.304561	0.562078	0.972039	1.188877	1.560174	0.583551	0.758247	0.697703	0.706293	0.129945	0.196445	0.800751	0.588055	0.404044	0.625410	0.916815	1.436995	1.274397	1.678149	0.499084	0.537608	0.309522	0.373687	0.743710	1.106923	0.409122	0.751089	0.835471	1.311247	0.752503	1.114697	0.832879	1.557349	1.194637	1.685752	0.483856	0.668291	0.654983	1.204859	0.626161	0.569372	0.576707	0.780558	1.151178	0.783066	0.214909	0.817365	1.377476	1.517284	1.051699	0.265320	0.145226	1.119153	0.731304	0.257576	0.628292	1.836139	1.994197	0.167342	0.670923	0.457634	0.324061	1.525355	2.401033	0.657718	1.525743	0.366749	0.547645	0.769972	0.774726	0.159192	0.262641	0.674137	1.288877	1.243762	1.181487	0.000000	0.250349	0.085381	0.153515	0.040373	0.046082	0.090772	0.000000	0.039654	0.422466	0.067815	0.191104
BnaA03LNG0003900.1	37.448444	26.427938	20.972158	26.438576	24.357269	22.737995	35.323196	29.785557	27.576878	16.900269	20.250309	20.634560	14.434289	15.155849	10.513415	12.284316	12.284679	11.752140	24.777504	22.139771	21.273485	13.798221	17.324287	14.616209	125.700073	84.412552	127.132050	118.231331	96.351791	59.092720	86.047096	99.119514	82.265923	88.040649	87.435364	59.297390	35.024635	21.136633	17.924742	27.515858	29.540844	17.863974	21.220518	21.796978	250.579163	268.746246	36.726357	37.784004	26.006348	35.597260	21.467499	26.082098	22.335342	20.556637	25.749372	26.932381	33.611244	33.446266	22.611185	36.769806	26.884735	24.651932	21.575787	21.487186	20.772085	34.540325	33.629482	35.722530	21.399532	20.448582	7.974289	25.225229	13.858762	25.489853	12.726783	15.727455	108.162666	114.898186	62.773102	83.497314	81.950592	68.473587	105.797173	131.951508	70.093239	75.716499	135.129562	67.863899	41.141155	151.325104	150.498367	128.296188	46.870827	42.436909	37.271019	166.093002	59.668831	45.755684	32.117676	132.128250	150.369949	119.520317	55.521008	30.115353	181.274994	161.522720	64.076912	65.983986	65.916573	53.245335	63.429745	94.642685	93.821808	74.437027	70.171616	75.564774	93.313019	49.274269	64.589806	67.012222	67.497162	73.505562	57.995117	92.301788	95.713440	91.321785	74.539642	75.016068	65.412384	107.079712	77.789841	97.757896	77.812119	80.209373	74.316132	64.808762	67.435562	103.975075	94.256226	73.295494	71.746155	142.202347	114.132111	134.930450	111.839371	132.150879	121.409706	105.780334	115.258171	132.767258	104.931976	142.117798	113.523781	110.829994	101.240746	61.079796	55.131828	46.019123	115.790230	123.602180	61.840790	57.486282	63.744820	56.108021	70.576042	69.809547	62.406231	66.173225	66.350334	76.636436	84.521423	78.496742	92.257301	95.192551	92.550545	80.499802	85.439323	106.483345	55.458595	61.582195	68.212250	75.965889	53.325218	67.531647	109.128899	77.403999	132.402252	114.644089	71.267471	87.494881	16.808407	30.814886	16.332319	18.931368	10.297808	14.309183	16.783028	29.670404	19.675079	26.073761	24.305399	32.569809
BnaCnnLNG0002000.1	0.153208	0.184286	0.217628	0.397429	0.602275	0.455535	0.227126	0.453767	0.326110	0.460037	0.342630	0.387448	0.196705	0.140707	0.318251	0.293643	0.475394	0.412815	0.332540	0.204851	0.145166	0.169738	0.210919	0.219029	0.291715	0.390558	0.332951	0.459502	0.656546	0.417758	0.127400	0.206749	0.283582	0.512543	0.484714	0.224228	0.377772	0.253235	0.280675	0.343998	0.358782	0.329346	0.302001	0.202050	0.519324	0.490644	0.296998	0.297154	0.196199	0.415123	0.334998	0.178793	0.159606	0.165321	0.163561	0.190818	0.187631	0.221173	0.179661	0.157906	0.187947	0.277837	0.162727	0.154060	0.180968	0.154551	0.202538	0.187767	0.374309	0.344468	0.599706	0.497814	0.425300	0.460231	0.592226	0.523666	0.613779	0.440278	0.635506	0.512561	0.516142	0.707937	0.773789	0.551666	0.920158	0.936338	0.556538	0.788441	0.195428	0.253777	0.246280	0.287864	0.080085	0.200058	0.162785	0.348448	0.252866	0.144251	0.187630	0.377173	0.267420	0.276670	0.182004	0.126947	0.119491	0.180344	0.139940	0.190861	0.205468	0.183215	0.164669	0.160232	0.211746	0.197363	0.195685	0.279146	0.253828	0.243393	0.220650	0.232613	0.176703	0.270231	0.254149	0.159838	0.209426	0.103518	0.131853	0.112336	0.138430	0.157086	0.118405	0.134207	0.179607	0.129971	0.089170	0.108706	0.101497	0.145801	0.174781	0.121615	0.138415	0.185552	0.143576	0.106683	0.077242	0.164226	0.148212	0.194877	0.148607	0.128781	0.090996	0.143685	0.173532	0.148823	0.141837	0.123785	0.168395	0.219642	0.093289	0.085375	0.154221	0.229536	0.180818	0.211291	0.174948	0.188905	0.248282	0.173195	0.130639	0.141822	0.211824	0.245692	0.128247	0.140261	0.111723	0.187432	0.248272	0.238162	0.258471	0.263793	0.216631	0.293385	0.175938	0.145280	0.222555	0.239113	0.254954	0.356547	0.391169	0.318098	0.249785	0.357657	0.470911	0.243531	0.301856	0.394379	0.409229	0.300976	0.274877	0.363117	0.285612	0.368745
