BioProject ID	Run ID	Organ	Stage-Cultivar	Experiment	Description
PRJNA262144	SRR1604976	Seed	embryo - CR3170	embryos-cultivars	RNA-seq of embryos from different cultivar
PRJNA262144	SRR1604973	Seed	embryo - CR3170	embryos-cultivars	RNA-seq of embryos from different cultivar
PRJNA262144	SRR1604978	Seed	embryo - CR3170	embryos-cultivars	RNA-seq of embryos from different cultivar
PRJNA262144	SRR1604996	Seed	embryo - CR3231	embryos-cultivars	RNA-seq of embryos from different cultivar
PRJNA262144	SRR1604998	Seed	embryo - CR3231	embryos-cultivars	RNA-seq of embryos from different cultivar
PRJNA262144	SRR1605000	Seed	embryo - CR3231	embryos-cultivars	RNA-seq of embryos from different cultivar
PRJNA277295	SRR1916242	Leaf	leaf	leafs-seeds	The transcriptome sequencing of leaves and seeds
PRJNA277295	SRR2016207	Seed	seed	leafs-seeds	The transcriptome sequencing of leaves and seeds
PRJNA285423	SRR2046992	Seed	seed 25d after flowering - R1	silique-seeds	The transcriptome sequencing of silique and seeds
PRJNA285423	SRR2046993	silique	silique pericarp 16d after flowering - R1	silique-seeds	The transcriptome sequencing of silique and seeds
PRJNA285423	SRR2046994	Seed	seed 25d after flowering - zy72360	silique-seeds	The transcriptome sequencing of silique and seeds
PRJNA285423	SRR2046995	silique	silique pericarp 16d after flowering - zy72360	silique-seeds	The transcriptome sequencing of silique and seeds
PRJNA311067	SRR3147783	Seed	seed 2 weeks after pollination	seeds	The transcriptome sequencing of seeds
PRJNA311067	SRR3147784	Seed	seed 4 weeks after pollination	seeds	The transcriptome sequencing of seeds
PRJNA311067	SRR3147785	Seed	seed 6 weeks after pollination	seeds	The transcriptome sequencing of seeds
PRJNA311067	SRR3147786	Seed	seed 8 weeks after pollination	seeds	The transcriptome sequencing of seeds
PRJNA338132	SRR5905522	Stem	shoot apexes - ZYZ108	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905523	flower	bud - ZY50	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905524	Stem	shoot apexes - ZYZ108	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905525	flower	bud - ZY50	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905526	flower	bud - ZYZ108	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905527	flower	bud - ZYZ108	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905528	Stem	shoot apexes - ZYZ108	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905529	Stem	shoot apexes - ZYZ108	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905530	Stem	shoot apexes - MB	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905531	Stem	shoot apexes - MB	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905532	Stem	shoot apexes - ZY50	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905533	Stem	shoot apexes - ZY50	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905537	Stem	shoot apexes - MB	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905538	flower	bud - MB	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905539	flower	bud - MB	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905540	Stem	shoot apexes - ZY50	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA338132	SRR5905541	Stem	shoot apexes - ZY50	hybrid vigor of allopolyploid (stem-flower)	The transcriptome sequencing of the two parents and their F1 hybrids
PRJNA362706	SRR5208529	flower	anther - Yudal	allopolyploid	Impact evaluation of homoeologous exchanges in gene expression in an allopolyploid crop
PRJNA362706	SRR5208530	flower	anther - Yudal	allopolyploid	Impact evaluation of homoeologous exchanges in gene expression in an allopolyploid crop
PRJNA362706	SRR5208534	flower	anther - Yudal	allopolyploid	Impact evaluation of homoeologous exchanges in gene expression in an allopolyploid crop
PRJNA362706	SRR5208536	flower	anther -Darmor-bzh	allopolyploid	Impact evaluation of homoeologous exchanges in gene expression in an allopolyploid crop
PRJNA362706	SRR5208537	flower	anther -Darmor-bzh	allopolyploid	Impact evaluation of homoeologous exchanges in gene expression in an allopolyploid crop
PRJNA362706	SRR5208538	flower	anther -Darmor-bzh	allopolyploid	Impact evaluation of homoeologous exchanges in gene expression in an allopolyploid crop
PRJNA362706	SRR5208540	flower	anther -Darmor-bzh	allopolyploid	Impact evaluation of homoeologous exchanges in gene expression in an allopolyploid crop
PRJNA378682	SRR5331895	Stem	stem - bolting stage	branch angle	The study of branch angle
PRJNA378682	SRR5331949	Stem	stem - bolting stage	branch angle	The study of branch angle
PRJNA378682	SRR5331950	Stem	stem - beginning of florescence	branch angle	The study of branch angle
PRJNA378682	SRR5331997	Stem	stem - beginning of florescence	branch angle	The study of branch angle
PRJNA390000	SRR5665895	Leaf	leaf	flowering time (leaf-stem)	The genetic architecture and gene regulation of flowering time
PRJNA390000	SRR5674588	Leaf	leaf	flowering time (leaf-stem)	The genetic architecture and gene regulation of flowering time
PRJNA390000	SRR5674589	Stem	shoot apexes	flowering time (leaf-stem)	The genetic architecture and gene regulation of flowering time
PRJNA390000	SRR5674590	Stem	shoot apexes	flowering time (leaf-stem)	The genetic architecture and gene regulation of flowering time
PRJNA470566	SRR7135733	Seed	endosperm - 9Y	endosperm development	Gene expression in developing rapeseed endosperms from reciprocal crosses between inbred lines YN171 and 93276
PRJNA470566	SRR7135734	Seed	endosperm - Y9	endosperm development	Gene expression in developing rapeseed endosperms from reciprocal crosses between inbred lines YN171 and 93277
PRJNA470566	SRR7135735	Seed	endosperm - Y9	endosperm development	Gene expression in developing rapeseed endosperms from reciprocal crosses between inbred lines YN171 and 93278
PRJNA470566	SRR7135736	Seed	endosperm - YN171	endosperm development	Gene expression in developing rapeseed endosperms from reciprocal crosses between inbred lines YN171 and 93279
PRJNA470566	SRR7135737	Seed	endosperm - YN171	endosperm development	Gene expression in developing rapeseed endosperms from reciprocal crosses between inbred lines YN171 and 93280
PRJNA470566	SRR7135738	Seed	endosperm - 93275	endosperm development	Gene expression in developing rapeseed endosperms from reciprocal crosses between inbred lines YN171 and 93281
PRJNA490162	SRR7814560	Root	Regal_30d	root development	Differences in root development in winter and spring canola
PRJNA490162	SRR7814561	Root	Wester_30d	root development	Differences in root development in winter and spring canola
PRJNA490162	SRR7814562	Root	Kanada_30d	root development	Differences in root development in winter and spring canola
PRJNA490162	SRR7814563	Root	Wester_30d	root development	Differences in root development in winter and spring canola
PRJNA490162	SRR7814564	Root	Kanada_30d	root development	Differences in root development in winter and spring canola
PRJNA490162	SRR7814565	Root	Wester_60d	root development	Differences in root development in winter and spring canola
PRJNA490162	SRR7814566	Root	Regal_30d	root development	Differences in root development in winter and spring canola
