BioProject ID	Run ID	Organ	Trait-Cultivar	Experiment	Description
PRJNA284624	SRR2036392	seed	brown seeds - 26 DAF	embryonal Control of seed coat 	Identification of genes related to embryonal Control of yellow seed coat in B. napus
PRJNA284624	SRR2036393	seed	yellow seeds - 26 DAF	embryonal Control of seed coat 	Identification of genes related to embryonal Control of yellow seed coat in B. napus
PRJNA293490	SRR2179614	flower	WSLA	Recessive Male Sterility (RGMS)	comparative transcriptome analysis of Recessive Male Sterility (RGMS) in sterile and fertile Brassica napus lines
PRJNA293490	SRR2179615	flower	WSLB	Recessive Male Sterility (RGMS)	comparative transcriptome analysis of Recessive Male Sterility (RGMS) in sterile and fertile Brassica napus lines
PRJNA293490	SRR2192464	flower	WSLA	Recessive Male Sterility (RGMS)	comparative transcriptome analysis of Recessive Male Sterility (RGMS) in sterile and fertile Brassica napus lines
PRJNA293490	SRR2192489	flower	WSLB	Recessive Male Sterility (RGMS)	comparative transcriptome analysis of Recessive Male Sterility (RGMS) in sterile and fertile Brassica napus lines
PRJNA317510	SRR3343235	Stem	stem - LHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3343236	Stem	stem - LHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3343237	flower	bud - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3343238	silique	silique pericarp - LHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3347141	silique	silique pericarp - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3347142	silique	silique pericarp - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3348118	silique	silique pericarp - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3349850	Seed	seed - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3351917	Seed	seed - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3352389	Seed	seed - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3355337	Seed	seed - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3355338	flower	bud - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3355360	flower	bud - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3355369	flower	bud - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
PRJNA317510	SRR3357539	Leaf	leaf - HHI	Harvest index (HI)	Identification of differentially expressed genes between extremely high and low harvest index accessions
