BioProject ID,Run ID,Organ,Treatment,Experiment,Description
PRJNA738191,SRR14825793,shoot,5℃ - EMS26,freezing (5℃) - Cultivar,Transcriptome analysis of J8634-B-30 and EMS26 lines before and after freezing treatment
PRJNA738191,SRR14825794,shoot,5℃ - EMS26,freezing (5℃) - Cultivar,Transcriptome analysis of J8634-B-30 and EMS26 lines before and after freezing treatment
PRJNA738191,SRR14825795,shoot,Normal - EMS26,freezing (5℃) - Cultivar,Transcriptome analysis of J8634-B-30 and EMS26 lines before and after freezing treatment
PRJNA738191,SRR14825796,shoot,Normal - EMS26,freezing (5℃) - Cultivar,Transcriptome analysis of J8634-B-30 and EMS26 lines before and after freezing treatment
PRJNA738179,SRR14825473,shoot,5℃ - J8634-B-30,freezing (5℃) - Cultivar,Transcriptome analysis of J8634-B-30 and EMS26 lines before and after freezing treatment
PRJNA738179,SRR14825474,shoot,5℃ - J8634-B-30,freezing (5℃) - Cultivar,Transcriptome analysis of J8634-B-30 and EMS26 lines before and after freezing treatment
PRJNA738179,SRR14825475,shoot,Normal - J8634-B-30,freezing (5℃) - Cultivar,Transcriptome analysis of J8634-B-30 and EMS26 lines before and after freezing treatment
PRJNA738179,SRR14825476,shoot,Normal - J8634-B-30,freezing (5℃) - Cultivar,Transcriptome analysis of J8634-B-30 and EMS26 lines before and after freezing treatment
PRJNA721751,SRR14263226,leaf,J9712_Drought,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263225,leaf,J9712_Normal,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263224,leaf,MYB65_Drought,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263223,leaf,MYB65_Normal,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263222,leaf,J9712_Drought,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263221,leaf,J9712_Normal,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263220,leaf,J9712_Drought,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263219,leaf,J9712_Normal,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263218,leaf,MYB65_Drought,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263217,leaf,MYB65_Normal,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263216,leaf,MYB65_Drought,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA721751,SRR14263215,leaf,MYB65_Normal,Drought - Cultivar,Comparison of transgenic rapeseed (MYB 65 and J9712) before (N) and after (D) drought stress
PRJNA718104,SRR14089763,Root,CH159_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089762,Root,CH159_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089751,Root,CH159_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089740,Shoot,CH159_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089729,Shoot,CH159_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089726,Shoot,CH159_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089725,Root,CL339_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089724,Root,CL339_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089723,Root,CL339_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089722,Shoot,CL339_Sh,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089761,Shoot,CL339_Sh,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089760,Shoot,CL339_Sh,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089759,Root,H159_Cd_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089758,Root,H159_Cd_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089757,Root,H159_Cd_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089756,Shoot,H159_Cd_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
