BioProject&ID,Run&ID,Organ,Treatment,Experiment,Description
PRJNA274853,SRR1793815,Stem,J902$24hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793826,Stem,J902$24hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793831,Stem,J902$24hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793832,Stem,J902$48hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793833,Stem,J902$48hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793834,Stem,J902$48hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793847,Stem,J902$96hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793856,Stem,J902$96hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793857,Stem,J902$96hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793858,Stem,J902$Normal,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793859,Stem,J902$Normal,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793860,Stem,J902$Normal,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
PRJNA274853,SRR1793863,Stem,J964$24hpi,Sclerotinia&Sclerotiorum&infection&(J902&and&J964&at&24%&48%&96&h),B.&napus&Transcriptome&after&S.&sclerotiorum&infection.&The&experiment&consisted&of&24&samples&containing&susceptible&(J902)&and&resistant&(J964)&genotypes&and&was&sampled&at&24%&48%&and&96&h&after&treatment&with&three&biological&replications.
