BioProject ID	Run ID	Organ	Treatment	Experiment	Description
PRJNA393069	SRR5816403	Juvenile leaf	High Boron - 25 µM - Q10 - Juvenile leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816404	Juvenile leaf	High Boron - 25 µM - Q10 - Juvenile leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816405	Juvenile leaf	High Boron - 25 µM - Q10 - Juvenile leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816406	Old leaf	High Boron - 25 µM - Q10 - Old leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816407	Old leaf	High Boron - 25 µM - Q10 - Old leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816409	Old leaf	High Boron - 25 µM - Q10 - Old leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816412	Juvenile leaf	Low Boron - 0.25 µM - Q10 - Juvenile leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816413	Juvenile leaf	Low Boron - 0.25 µM - Q10 - Juvenile leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816414	Juvenile leaf	Low Boron - 0.25 µM - Q10 - Juvenile leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816415	Old leaf	Low Boron - 0.25 µM - Q10 - Old leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816416	Old leaf	Low Boron - 0.25 µM - Q10 - Old leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816417	Old leaf	Low Boron - 0.25 µM - Q10 - Old leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816422	Juvenile leaf	High Boron - 25 µM - W10 - Juvenile leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816423	Juvenile leaf	High Boron - 25 µM - W10 - Juvenile leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816424	Juvenile leaf	High Boron - 25 µM - W10 - Juvenile leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816425	Old leaf	High Boron - 25 µM - W10 - Old leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816426	Old leaf	High Boron - 25 µM - W10 - Old leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
PRJNA393069	SRR5816427	Old leaf	High Boron - 25 µM - W10 - Old leaf	Boron deficiency	Genome-wide transcriptional responses to boron deficiency in Brassica napus
