Query	Length_Query	Target	Length_Target	dG	ndG	Start_Position_Query	End_Position_Query	Start_Position_Target	End_Position_Target
BnaA01LNG0000400	 743	BnaA01g06840D	 396	-6.94	 -0.1477	653	743	1	91
BnaA01LNG0000700	 1491	BnaA01g08840D	 168	-18.33	 -0.1264	77	244	1	168
BnaA01LNG0000800	 1480	BnaA01g09680D	 486	-131.36	 -0.3220	1064	1480	1	417
BnaA01LNG0001000	 587	BnaA01g12000D	 57	-6.16	 -0.1311	46	102	1	57
BnaA01LNG0001100	 500	BnaA01g12000D	 57	-6.25	 -0.1488	41	97	1	57
BnaA01LNG0001200	 323	BnaA01g12000D	 57	-7.41	 -0.1950	9	65	1	57
BnaA01LNG0001300	 447	BnaA01g12600D	 78	-7.80	 -0.1660	346	423	1	78
BnaA01LNG0001300	 447	BnaA01g12610D	 120	-10.01	 -0.1410	5	124	1	120
BnaA01LNG0001300	 447	BnaA01g12630D	 57	-7.58	 -0.1516	307	363	1	57
BnaA01LNG0001400	 558	BnaA01g13000D	 450	-14.08	 -0.1028	1	175	276	450
BnaA01LNG0001400	 558	BnaA01g13060D	 507	-12.40	 -0.1069	410	558	1	149
BnaA01LNG0001700	 547	BnaA01g15770D	 1344	-10.68	 -0.1369	432	547	1	116
BnaA01LNG0001700	 547	BnaA01g15780D	 630	-6.39	 -0.1102	479	547	1	69
BnaA01LNG0001700	 547	BnaA01g15930D	 309	-7.66	 -1.0943	482	547	1	66
BnaA01LNG0001900	 2743	BnaA01g17080D	 63	-10.00	 -0.5000	1563	1625	1	63
BnaA01LNG0001900	 2743	BnaA01g17160D	 75	-16.60	 -0.2964	1818	1892	1	75
BnaA01LNG0002200	 2340	BnaA01g18220D	 171	-16.62	 -0.1059	1822	1992	1	171
BnaA01LNG0002300	 308	BnaA01g18220D	 171	-5.84	 -0.2336	1	42	130	171
BnaA01LNG0002300	 308	BnaA01g18250D	 213	-4.90	 -0.2450	1	25	189	213
BnaA01LNG0002300	 308	BnaA01g18280D	 1596	-6.12	 -0.1302	1	79	1518	1596
BnaA01LNG0002300	 308	BnaA01g18290D	 423	-9.36	 -0.5506	1	45	379	423
BnaA01LNG0002900	 1890	BnaA01g20870D	 168	-14.34	 -0.1103	1284	1451	1	168
BnaA01LNG0002900	 1890	BnaA01g20910D	 81	-8.50	 -0.1104	1419	1499	1	81
BnaA01LNG0002900	 1890	BnaA01g20930D	 93	-12.56	 -0.1427	1475	1567	1	93
BnaA01LNG0003000	 1082	BnaA01g20910D	 81	-7.48	 -0.1039	91	171	1	81
BnaA01LNG0003000	 1082	BnaA01g20930D	 93	-9.94	 -0.1104	409	501	1	93
BnaA01LNG0003100	 3872	BnaA01g20910D	 81	-11.75	 -0.1754	2680	2760	1	81
BnaA01LNG0003100	 3872	BnaA01g20930D	 93	-11.35	 -0.1555	276	368	1	93
BnaA01LNG0003200	 3654	BnaA01g20910D	 81	-11.75	 -0.1754	2462	2542	1	81
BnaA01LNG0003200	 3654	BnaA01g20930D	 93	-11.35	 -0.1555	58	150	1	93
BnaA01LNG0003500	 272	BnaA01g23380D	 990	-8.04	 -0.1436	201	272	1	72
BnaA01LNG0003500	 272	BnaA01g23400D	 846	-7.62	 -0.1016	1	113	734	846
BnaA01LNG0003800	 1074	BnaA01g25040D	 81	-11.75	 -0.1588	719	799	1	81
BnaA01LNG0003900	 507	BnaA01g25160D	 135	-11.34	 -0.1004	61	195	1	135
BnaA01LNG0003900	 507	BnaA01g25210D	 159	-7.55	 -0.1302	1	68	92	159
