GeneID	Chromosome	Start	Stop	Strand	Description
BnaA01g06840D	chrA01	3207335	3207866	-	uncharacterized protein LOC106398820
BnaA01g08840D	chrA01	4275921	4276088	+	--
BnaA01g09680D	chrA01	4756203	4757167	-	protein PHLOEM PROTEIN 2-LIKE A8-like
BnaA01g12000D	chrA01	6013715	6014105	+	--
BnaA01g12600D	chrA01	6314287	6315933	+	--
BnaA01g12610D	chrA01	6316051	6316205	-	--
BnaA01g12630D	chrA01	6318070	6318126	+	--
BnaA01g13000D	chrA01	6509684	6510972	+	uncharacterized protein BNAA01G13000D
BnaA01g13060D	chrA01	6541029	6541819	-	RING-H2 finger protein ATL81
BnaA01g15770D	chrA01	8097569	8099367	+	heterogeneous nuclear ribonucleoprotein 1-like
BnaA01g15780D	chrA01	8100317	8101716	+	mitochondrial import inner membrane translocase subunit TIM22-2-like
BnaA01g15930D	chrA01	8171579	8172430	-	upstream activation factor subunit UAF30
BnaA01g17080D	chrA01	8965954	8966074	+	--
BnaA01g17160D	chrA01	9026243	9026604	+	--
BnaA01g18220D	chrA01	9771034	9771204	-	nudix hydrolase 7-like
BnaA01g18250D	chrA01	9776425	9776637	+	--
BnaA01g18280D	chrA01	9803799	9806813	-	DEAD-box ATP-dependent RNA helicase 1-like
BnaA01g18290D	chrA01	9808559	9808981	+	pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2
BnaA01g20870D	chrA01	12766372	12766539	+	--
BnaA01g20910D	chrA01	12824706	12825152	+	--
BnaA01g20930D	chrA01	12826840	12827160	-	--
BnaA01g23380D	chrA01	15763583	15764810	-	uncharacterized protein LOC111212342
BnaA01g23400D	chrA01	15774805	15775689	+	paired amphipathic helix protein Sin3-like 2
BnaA01g25040D	chrA01	17512205	17512285	+	--
BnaA01g25160D	chrA01	17581724	17581931	-	uncharacterized protein LOC106434110 isoform X1
BnaA01g25180D	chrA01	17616926	17617112	-	--
BnaA01g25210D	chrA01	17647145	17647562	-	--
BnaA01g26150D	chrA01	18228542	18228628	-	probable cysteine protease RDL2
BnaA01g26350D	chrA01	18425556	18425699	-	uncharacterized protein LOC106417861
BnaA01g26360D	chrA01	18426396	18426509	+	--
BnaA01g28730D	chrA01	19959861	19960176	+	--
BnaA01g29330D	chrA01	20279716	20279908	-	--
BnaA01g29340D	chrA01	20280130	20280496	-	--
BnaA01g29480D	chrA01	20403393	20403933	+	--
BnaA01g29540D	chrA01	20456788	20459260	+	dormancy-associated protein homolog 4-like
BnaA01g30310D	chrA01	20834482	20835747	-	nucleolar GTP-binding protein 1-like
BnaA01g32200D	chrA01	21708408	21710273	-	protein REVEILLE 8-like
BnaA01g32430D	chrA01	21839589	21839651	-	--
BnaA01g32880D	chrA01	22199294	22200245	-	40S ribosomal protein S7
BnaA01g34680D	chrA01_random	77168	78743	-	uncharacterized protein LOC106439247 isoform X2
BnaA01g35730D	chrA01_random	993186	993331	+	--
