Gene ID	Transcript ID	StringTie ID	Chr	Location	Length	Classification	Exon number
BnaA01LNG0000100	BnaA01LNG0000100.1	MSTRG.200.2	chrA01	962242-964673	2431	o	2
BnaA01LNG0000200	BnaA01LNG0000200.1	MSTRG.363.1	chrA01	2044896-2047679	2783	u	3
BnaA01LNG0000300	BnaA01LNG0000300.1	MSTRG.481.1	chrA01	2720147-2723133	2986	o	3
BnaA01LNG0000400	BnaA01LNG0000400.1	MSTRG.545.1	chrA01	3146385-3147128	743	u	1
BnaA01LNG0000500	BnaA01LNG0000500.1	MSTRG.626.1	chrA01	3762988-3763477	489	u	1
BnaA01LNG0000600	BnaA01LNG0000600.1	MSTRG.662.1	chrA01	3996023-3996547	524	u	1
BnaA01LNG0000700	BnaA01LNG0000700.1	MSTRG.727.3	chrA01	4260536-4262027	1491	o	2
BnaA01LNG0000700	BnaA01LNG0000700.2	MSTRG.727.4	chrA01	4260536-4262027	1491	o	2
BnaA01LNG0000800	BnaA01LNG0000800.1	MSTRG.835.3	chrA01	4755139-4756619	1480	o	3
BnaA01LNG0000900	BnaA01LNG0000900.1	MSTRG.972.1	chrA01	5877046-5877796	750	u	1
BnaA01LNG0001000	BnaA01LNG0001000.1	MSTRG.984.1	chrA01	5929525-5930112	587	u	1
BnaA01LNG0001100	BnaA01LNG0001100.1	MSTRG.986.1	chrA01	5941473-5941973	500	u	1
BnaA01LNG0001200	BnaA01LNG0001200.1	MSTRG.987.1	chrA01	5943352-5943675	323	u	1
BnaA01LNG0001300	BnaA01LNG0001300.1	MSTRG.995.1	chrA01	6245838-6246285	447	u	1
BnaA01LNG0001400	BnaA01LNG0001400.1	MSTRG.1067.1	chrA01	6453735-6454293	558	u	1
BnaA01LNG0001500	BnaA01LNG0001500.1	MSTRG.1093.1	chrA01	6662273-6663288	1015	u	1
BnaA01LNG0001600	BnaA01LNG0001600.1	MSTRG.1247.1	chrA01	7545335-7546258	923	u	1
