lncRNA ID	Pre-miRNA	Identity(%)	Alignment Length	Mismatches	LncRNA start	LncRNA end	miRNA start	miRNA end	E-value	Bitscore	Structure
BnaA01LNG0004100	bna-miR6031	90.909	22	2	9291	9312	24	3	0.029	28.2	
BnaA01LNG0004500	bna-miR159	88.235	17	2	542	558	1	17	5.4	18.3	
BnaA01LNG0006800	bna-miR156a	93.75	16	1	2058	2073	16	1	0.14	24.3	
BnaA01LNG0006800	bna-miR156d	93.75	16	1	2058	2073	16	1	0.14	24.3	
BnaA01LNG0006800	bna-miR156e	93.75	16	1	2058	2073	16	1	0.14	24.3	
BnaA01LNG0006800	bna-miR156f	93.75	16	1	2058	2073	16	1	0.14	24.3	
BnaA01LNG0006900	bna-miR156a	93.75	16	1	1038	1053	16	1	0.1	24.3	
BnaA01LNG0006900	bna-miR156d	93.75	16	1	1038	1053	16	1	0.1	24.3	
BnaA01LNG0006900	bna-miR156e	93.75	16	1	1038	1053	16	1	0.1	24.3	
BnaA01LNG0006900	bna-miR156f	93.75	16	1	1038	1053	16	1	0.1	24.3	
BnaA02LNG0001200	bna-miR6031	94.444	18	1	43	60	24	7	0.007	28.2	
BnaA02LNG0001400	bna-miR6034	87.5	16	2	426	441	18	3	6.8	16.4	
BnaA03LNG0008900	bna-miR172a	88.235	17	2	3020	3036	2	18	9.4	18.3	
BnaA03LNG0008900	bna-miR172b	88.235	17	2	3020	3036	2	18	9.4	18.3	
BnaA03LNG0008900	bna-miR172c	88.235	17	2	3020	3036	2	18	9.4	18.3	
BnaA03LNG0008900	bna-miR172d	88.235	17	2	3020	3036	2	18	9.4	18.3	
BnaA05LNG0003600	bna-miR6031	87.5	24	3	1444	1467	24	1	0.076	24.3	
BnaA09LNG0007400	bna-miR171a	88.889	18	2	3085	3102	19	2	7	20.3	
BnaA09LNG0007400	bna-miR171b	88.889	18	2	3085	3102	19	2	7	20.3	
BnaA09LNG0007400	bna-miR171c	88.889	18	2	3085	3102	19	2	7	20.3	
BnaA09LNG0007400	bna-miR171d	88.889	18	2	3085	3102	19	2	7	20.3	
BnaA09LNG0007400	bna-miR171e	88.889	18	2	3085	3102	19	2	7	20.3	
BnaA09LNG0008200	bna-miR860	87.5	16	2	322	337	3	18	8.3	16.4	
BnaAnnLNG0003700	bna-miR156b	93.75	16	1	1530	1545	1	16	0.15	24.3	
BnaAnnLNG0003700	bna-miR156c	93.75	16	1	1530	1545	1	16	0.15	24.3	
BnaAnnLNG0003700	bna-miR156g	93.75	16	1	1530	1545	1	16	0.15	24.3	
BnaC03LNG0002500	bna-miR6031	94.444	18	1	6453	6470	1	18	0.027	28.2	
BnaC04LNG0005500	bna-miR2111c	93.75	16	1	1114	1129	6	21	0.093	24.3	
BnaC05LNG0007400	bna-miR169m	90	20	2	140	159	1	20	0.029	24.3	
BnaC06LNG0000600	bna-miR2111c	89.474	19	2	1324	1342	3	21	0.69	22.3	
BnaC06LNG0008800	bna-miR6036	88.889	18	2	2902	2919	7	24	2.7	20.3	
BnaC08LNG0000400	bna-miR396a	93.75	16	1	492	507	18	3	0.046	24.3	
BnaC08LNG0002900	bna-miR6034	88.235	17	2	2125	2141	17	1	7.6	18.3	
BnaC08LNG0006200	bna-miR169c	87.5	16	2	404	419	16	1	8.9	16.4	
BnaC08LNG0006200	bna-miR169d	87.5	16	2	404	419	16	1	8.9	16.4	
BnaC08LNG0006200	bna-miR169e	87.5	16	2	404	419	16	1	8.9	16.4	
BnaC08LNG0006200	bna-miR169f	87.5	16	2	404	419	16	1	8.9	16.4	
BnaC08LNG0006200	bna-miR169g	87.5	16	2	404	419	16	1	8.9	16.4	
BnaC08LNG0006200	bna-miR169h	87.5	16	2	404	419	16	1	8.9	16.4	
BnaC08LNG0006200	bna-miR169i	87.5	16	2	404	419	16	1	8.9	16.4	
BnaC08LNG0006200	bna-miR169j	87.5	16	2	404	419	16	1	8.9	16.4	
BnaC08LNG0006200	bna-miR169k	87.5	16	2	404	419	16	1	8.9	16.4	
BnaC08LNG0006200	bna-miR169l	87.5	16	2	404	419	16	1	8.9	16.4	
BnaCnnLNG0005000	bna-miR6031	88.235	17	2	199	215	20	4	2.1	18.3	
BnaCnnLNG0010600	bna-miR6035	87.5	16	2	150	165	5	20	4.6	16.4	
