GeneID	Chromosome	Start	Stop	Strand	Description
BnaA01g01720D	chrA01	905678	905810	-	--
BnaA01g05650D	chrA01	2632908	2632988	-	--
BnaA01g08740D	chrA01	4211515	4211583	+	--
BnaA01g11750D	chrA01	5860946	5861299	+	uncharacterized protein LOC106347887
BnaA01g11790D	chrA01	5885702	5888399	+	calcium-dependent protein kinase 15
BnaA01g11860D	chrA01	5926067	5927360	-	uncharacterized protein BNAA01G11860D
BnaA01g13150D	chrA01	6598640	6598753	-	--
BnaA01g14930D	chrA01	7519034	7519774	-	--
BnaA01g15590D	chrA01	7983791	7986626	+	uncharacterized protein At4g26450-like
BnaA01g15650D	chrA01	8021034	8024079	-	LRR receptor-like serine/threonine-protein kinase
BnaA01g15670D	chrA01	8035832	8037745	-	protein transport protein sft2
BnaA01g15690D	chrA01	8046887	8049252	-	calcineurin B-like protein 3 isoform X1
BnaA01g16920D	chrA01	8840780	8840956	-	--
BnaA01g16930D	chrA01	8844662	8844848	-	--
BnaA01g18180D	chrA01	9699630	9701519	-	shikimate O-hydroxycinnamoyltransferase-like
BnaA01g18190D	chrA01	9708878	9711728	-	--
BnaA01g18220D	chrA01	9771034	9771204	-	nudix hydrolase 7-like
BnaA01g18240D	chrA01	9774125	9776201	+	--
BnaA01g18830D	chrA01	10314795	10315137	-	--
BnaA01g19070D	chrA01	10556411	10556789	+	--
BnaA01g20870D	chrA01	12766372	12766539	+	--
BnaA01g20910D	chrA01	12824706	12825152	+	--
BnaA01g22470D	chrA01	14837660	14838671	+	--
BnaA01g22530D	chrA01	14855033	14855137	+	--
BnaA01g23260D	chrA01	15653239	15653685	-	--
BnaA01g23310D	chrA01	15676533	15677428	+	uncharacterized protein LOC106451496
BnaA01g24170D	chrA01	16595879	16595992	-	--
BnaA01g24930D	chrA01	17368347	17368688	-	septum-promoting GTP-binding protein 1-like
BnaA01g24960D	chrA01	17434454	17434606	+	zinc finger A20 and AN1 domain-containing stress-associated protein 7-like
BnaA01g25030D	chrA01	17510362	17511783	+	uncharacterized protein LOC106454948 isoform X2
BnaA01g25040D	chrA01	17512205	17512285	+	--
BnaA01g25080D	chrA01	17516658	17518363	-	guanine nucleotide-binding protein subunit gamma 2 isoform X2
